ONTOLOGY	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
CC	GO:0070382	exocytic vesicle	73/4930	225/19518	0.008992548	1.75E+00	0.007536661	TOR1A/IQSEC1/COPS4/RAB5A/COPS5/SNAPIN/ATP6V1C1/ATP6V0C/NCSTN/CLN3/SYPL1/ATP6AP2/BCL2L1/MTMR2/ATP6V1E1/SYNGR2/CDK16/DYSF/RAB3A/STX7/RAB5B/TMED9/ATP6V1F/MYOF/VPS45/SNCA/STX12/RAB6A/DNM1L/STX6/PICALM/ATP6V0D1/ATP6AP1/TPRG1L/RAB35/ATP6V1D/RAB11B/RAB10/ATP6V1A/PPT1/RAB27A/RAB3B/STX16/RAB8B/ATP6V1B2/RAB8A/VTI1B/SCAMP1/DNAJC5/RAB3D/GIPC1/WFS1/MME/CLTA/RAB7A/MFF/ATP2B1/BIN1/ATP6V0A1/DPYSL3/STON2/APP/CLTB/TRAPPC4/LAMP1/RAB13/DMXL2/SLC6A9/VTI1A/SYT1/PTPRS/RAB12/SEMA4C	73
CC	GO:0098576	lumenal side of membrane	16/4930	36/19518	0.009453352	1.73E+00	0.00790139	HLA-G/BCAP31/PAM16/TAPBP/HLA-A/CANX/CALR/HSPA8/CTSA/HLA-B/HM13/SPPL2A/HLA-C/PKD2/HLA-E/DNAJC19	16
CC	GO:0099738	cell cortex region	17/4930	39/19518	0.009534986	1.73E+00	0.007948082	GPSM2/PHLDB2/CTBP2/CTNND1/CLASP2/ACTR1A/CLASP1/CTNNB1/STXBP1/CTBP1/ERC1/CLTA/DCTN1/NUMA1/CLTB/PHLDB1/PKD2	17
CC	GO:0000164	protein phosphatase type 1 complex	10/4930	19/19518	0.009577368	1.73E+00	0.007961892	NCK1/WDR82/PPP1R10/PPP1CA/SHOC2/PPP1R9B/PPP1R12A/PPP1CB/PPP1CC/TOX4	10
CC	GO:0030014	CCR4-NOT complex	8/4930	14/19518	0.010976293	1.67E+00	0.00900351	CNOT4/CNOT10/CNOT7/CNOT2/TNKS1BP1/CNOT1/CNOT3/CNOT11	8
CC	GO:0031010	ISWI-type complex	8/4930	14/19518	0.010976293	1.67E+00	0.00900351	RBBP4/SMARCA1/RSF1/POLE3/BAZ1B/RBBP7/BAZ1A/SMARCA5	8
CC	GO:0031616	spindle pole centrosome	8/4930	14/19518	0.010976293	1.67E+00	0.00900351	AURKA/AURKB/NUBP2/EMD/NPM1/NUMA1/DLGAP5/NDE1	8
CC	GO:0045120	pronucleus	8/4930	14/19518	0.010976293	1.67E+00	0.00900351	CCNA2/AURKA/SLC2A1/RIF1/AKAP8/CBX1/EZH2/CENPF	8
CC	GO:0140288	GBAF complex	8/4930	14/19518	0.010976293	1.67E+00	0.00900351	SMARCD1/SS18/ACTL6A/SMARCC1/ACTB/SMARCA4/BCL7C/SMARCA2	8
CC	GO:0005751	mitochondrial respiratory chain complex IV	12/4930	25/19518	0.011633068	1.65E+00	0.009516931	COX7C/COX6C/COX6A1/COX7A2L/NDUFA4/COX6B1/UQCRC2/COX5B/COX4I1/COX8A/COX5A/COX7A2	12
CC	GO:0045277	respiratory chain complex IV	13/4930	28/19518	0.012222145	1.63E+00	0.009972399	COX7C/COX6C/COX6A1/COX7A2L/NDUFA4/COX6B1/UQCRC2/COX5B/COX4I1/COX8A/COX5A/COX7A2/COA6	13
CC	GO:0035579	specific granule membrane	33/4930	91/19518	0.012789018	1.61E+00	0.010407394	MLEC/AP1M1/DEGS1/ADAM10/CMTM6/TMBIM1/RAP1A/STOM/HMOX2/TOM1/CKAP4/SNAP23/CD47/ATP6V1D/UBR4/PGRMC1/PLAU/ITGAV/SCAMP1/DNAJC5/CD59/PTPRJ/LAMTOR1/PLAUR/SLC44A2/ANO6/STK10/LAMTOR3/TMEM30A/ORMDL3/MOSPD2/RAP2B/TSPAN14	33
CC	GO:0030008	TRAPP complex	9/4930	17/19518	0.013237917	1.60E+00	0.010716148	TRAPPC5/TRAPPC3/TRAPPC12/TRAPPC11/TRAPPC8/TRAPPC1/TRAPPC4/TRAPPC13/TRAPPC10	9
CC	GO:0031092	platelet alpha granule membrane	9/4930	17/19518	0.013237917	1.60E+00	0.010716148	CD9/SPARC/PHACTR2/PCDH7/SNCA/CYB5R1/TMX3/CD109/APLP2	9
CC	GO:0031985	Golgi cisterna	41/4930	118/19518	0.013444272	1.59E+00	0.010854703	GOLPH3L/B3GALT6/CHPF/ARAP1/BCAP31/GALNT1/CIT/CHPF2/COG3/FUT11/TMED2/GOLGA5/UXS1/ATP2C1/PITPNM1/MOB4/SAR1B/YIPF6/ASAP2/GALNT2/B4GALT1/FUT8/GOLIM4/SCFD1/HLA-A/B4GALT3/SLC30A7/RAB34/STX16/CANT1/GOLGA2/LLGL1/RAB21/SORT1/GOLGA3/GOLPH3/TMEM87A/MAN2A1/GOSR1/TMED3/TMEM59	41
CC	GO:0036020	endolysosome membrane	10/4930	20/19518	0.014876582	1.55E+00	0.011979767	ATG16L1/AP2M1/CLTC/AP2A1/AP2B1/AP2A2/CLTA/AP2S1/LDLR/ABCB6	10
CC	GO:0005652	nuclear lamina	7/4930	12/19518	0.015074938	1.55E+00	0.012076437	PCNA/LMNA/LMNB1/EIF6/LMNB2/HLCS/CASK	7
CC	GO:0099524	postsynaptic cytosol	7/4930	12/19518	0.015074938	1.55E+00	0.012076437	PIN1/BAIAP2/HSPA8/DAG1/PLCB3/DBN1/HTT	7
CC	GO:0000152	nuclear ubiquitin ligase complex	18/4930	44/19518	0.016380602	1.51E+00	0.0130884	CDC20/ANAPC15/UBE2C/ANAPC7/RING1/CDC16/PHC2/ANAPC1/RNF2/CUL7/ANAPC2/CDC23/BUB1B/BRCC3/UBE2S/ANAPC5/CDC27/RAD51	18
CC	GO:0005834	heterotrimeric G-protein complex	12/4930	26/19518	0.016721373	1.50E+00	0.013257644	GNA14/GNA11/GNB1/GNA12/GNG5/GNB4/GNA13/GNB2/GNAS/GNAQ/GNAI2/GNAI3	12
CC	GO:0046930	pore complex	12/4930	26/19518	0.016721373	1.50E+00	0.013257644	VDAC1/BAX/ADAM10/SPG7/TOMM40/VDAC2/VDAC3/SLC25A5/SLC25A4/PPIF/PDZD11/BAK1	12
CC	GO:0097346	INO80-type complex	12/4930	26/19518	0.016721373	1.50E+00	0.013257644	ACTR5/MCRS1/UCHL5/RUVBL2/RUVBL1/ACTL6A/TRRAP/ANP32E/CFDP1/BRD8/EP400/ACTR8	12
CC	GO:1905360	GTPase complex	14/4930	32/19518	0.017273142	1.49E+00	0.013660002	GNA14/GNA11/GNB1/GNA12/GNG5/GNB4/SOS1/GNA13/GNB2/GNAS/GNAQ/GNAI2/HRAS/GNAI3	14
CC	GO:0031588	nucleotide-activated protein kinase complex	8/4930	15/19518	0.018372466	1.47E+00	0.014455243	NUAK2/PRKAG2/PRKAG1/PRKAA1/PRKAR1A/PRKAB1/PRKAR2A/PRKAB2	8
CC	GO:0045293	mRNA editing complex	8/4930	15/19518	0.018372466	1.47E+00	0.014455243	RBM15/ZC3H13/RBM15B/CBLL1/HNRNPAB/METTL14/METTL3/WTAP	8
CC	GO:0005771	multivesicular body	25/4930	67/19518	0.019259547	1.45E+00	0.015114631	TMEM9/TSG101/TPT1/CHMP5/PRKAR1A/HDAC6/CHMP6/CHMP7/NEDD4L/CHMP2B/CHMP4B/HGS/CHMP1A/RAB27A/CTSL/EGFR/VTA1/CHMP4A/STEAP3/LAMP1/CD63/ABCB6/CHMP2A/CHMP3/PRKAR1B	25
CC	GO:0005637	nuclear inner membrane	24/4930	64/19518	0.02022658	1.43E+00	0.015833256	SIGMAR1/ZMPSTE24/SUN1/TMEM201/MFSD10/SIRT1/DPY19L1/LEMD2/SUN2/EMD/SMAD3/NUTF2/TOR1AIP1/TMEM43/MATR3/LRPPRC/TMX4/LMNB1/LEMD3/TRA2B/CBX3/LBR/ARL6IP6/ITPR1	24
CC	GO:0031143	pseudopodium	9/4930	18/19518	0.020628756	1.42E+00	0.016061187	MAPK3/RAF1/ACTN1/VAMP7/MAPK1/MSN/CAPN2/ACTN4/CNP	9
CC	GO:0034719	SMN-Sm protein complex	9/4930	18/19518	0.020628756	1.42E+00	0.016061187	SNRPE/SNRPD3/SNRPD1/GEMIN5/GEMIN4/STRAP/SNRPD2/DDX20/SNRPF	9
CC	GO:0038201	TOR complex	6/4930	10/19518	0.020726057	1.42E+00	0.016061187	MLST8/TTI1/MTOR/TELO2/RICTOR/RPTOR	6
CC	GO:0071014	post-mRNA release spliceosomal complex	6/4930	10/19518	0.020726057	1.42E+00	0.016061187	CWF19L1/CRNKL1/ISY1/CCDC12/TFIP11/XAB2	6
CC	GO:0070461	SAGA-type complex	16/4930	39/19518	0.02227963	1.39E+00	0.017221822	TAF6/POLE4/USP22/TAF4/MAP3K7/TAF7/WDR5/DR1/SF3B3/TRRAP/POLE3/SF3B5/ENY2/TAF10/SUPT7L/TAF2	16
CC	GO:0030672	synaptic vesicle membrane	42/4930	125/19518	0.022500733	1.39E+00	0.017277909	RAB5A/SNAPIN/ATP6V1C1/ATP6V0C/SYPL1/ATP6AP2/BCL2L1/ATP6V1E1/SYNGR2/DYSF/RAB3A/RAB5B/ATP6V1F/MYOF/SNCA/STX12/DNM1L/STX6/ATP6V0D1/ATP6AP1/TPRG1L/RAB35/ATP6V1D/RAB11B/ATP6V1A/RAB3B/STX16/ATP6V1B2/SCAMP1/DNAJC5/WFS1/CLTA/RAB7A/ATP2B1/BIN1/ATP6V0A1/CLTB/DMXL2/SLC6A9/SYT1/PTPRS/SEMA4C	42
CC	GO:0099501	exocytic vesicle membrane	42/4930	125/19518	0.022500733	1.39E+00	0.017277909	RAB5A/SNAPIN/ATP6V1C1/ATP6V0C/SYPL1/ATP6AP2/BCL2L1/ATP6V1E1/SYNGR2/DYSF/RAB3A/RAB5B/ATP6V1F/MYOF/SNCA/STX12/DNM1L/STX6/ATP6V0D1/ATP6AP1/TPRG1L/RAB35/ATP6V1D/RAB11B/ATP6V1A/RAB3B/STX16/ATP6V1B2/SCAMP1/DNAJC5/WFS1/CLTA/RAB7A/ATP2B1/BIN1/ATP6V0A1/CLTB/DMXL2/SLC6A9/SYT1/PTPRS/SEMA4C	42
CC	GO:0031253	cell projection membrane	105/4930	349/19518	0.02252025	1.39E+00	0.017277909	HLA-G/KSR1/PEX19/SH3BGRL3/DHRS3/MYO10/VASP/MACF1/MTMR9/MAPRE1/HSP90AA1/MTMR6/MXRA8/ARF4/APPL2/TLN1/PACSIN2/ITGB1/MYO1C/CFL1/FERMT2/ATP6AP2/SLC27A4/GNA12/MFSD10/CLASP2/HHIP/FAP/HIP1R/SLC26A2/PIEZO1/NME1/NF2/MYO6/ARF6/SLC26A4/PACSIN1/ARHGEF2/SRC/B4GALT1/EHD1/INPP5K/CD44/CTNNB1/SLC11A2/GNA13/NCKAP1/SPTBN1/SLC7A11/GPI/EEF1A1/RAB35/TWF1/ARPC1A/ITGAV/UTRN/PPP1R9B/ARPC2/RAB8A/RPS3/ITGA3/EGFR/MSN/IFIT5/CORO1C/CSPG4/EPB41L3/RHOA/AKT2/DIAPH1/SLC7A5/SNAP29/EPS8/LIMA1/ITGA5/ATP2B1/PAK1/PSD3/PTPRJ/STX4/FSCN1/SLC12A2/PLCG1/DLG1/EPS8L2/THY1/DNM2/PIP5K1A/SYNE2/EPHA2/CASK/CLTB/TPM1/EZR/CYBRD1/PKD2/ANTXR1/PHLPP2/DMD/TXNDC15/EHD3/PODXL/ADAM17/KANK1/SLC39A6	105
CC	GO:0005685	U1 snRNP	14/4930	33/19518	0.023173061	1.38E+00	0.01773464	PRPF39/SNRPB2/LUC7L2/SNRPE/SNRPC/SNRPD3/SNRPD1/PRPF40A/SNRPA/SNRNP70/LUC7L/SNRPD2/LUC7L3/SNRPF	14
CC	GO:0030057	desmosome	12/4930	27/19518	0.023315809	1.38E+00	0.017799719	DSC3/DSG2/PERP/B4GALT1/UBA1/PNN/JAM3/CDH2/DSP/JUP/PKP2/DSG1	12
CC	GO:0042383	sarcolemma	45/4930	136/19518	0.024523895	1.36E+00	0.018675767	FLOT1/ATP1B1/SLC30A1/FKRP/NCSTN/AHNAK2/STBD1/ITGB1/ATP2B4/CAV2/SLC8A1/CACNA2D1/DYSF/PPP3R1/PGM5/ACP1/SLC2A1/FLNC/SMPD4/RDX/ATP1A1/SRI/UTRN/PPP3CA/CORO1C/BSG/CDH2/SNTB1/SLC38A2/AHNAK/DAG1/PLEC/BIN1/DLG1/CAV1/VCL/PPP3CB/ANXA1/KRT8/SYNC/CAMK2D/LAMP1/DMD/SLC9A1/SYNM	45
CC	GO:0000812	Swr1 complex	7/4930	13/19518	0.025627415	1.34E+00	0.019231227	RUVBL2/RUVBL1/TRRAP/ANP32E/CFDP1/BRD8/EP400	7
CC	GO:0005687	U4 snRNP	7/4930	13/19518	0.025627415	1.34E+00	0.019231227	SNRPE/SNRPD3/SNRPD1/DDX39B/SNRPD2/PRPF31/SNRPF	7
CC	GO:0005736	RNA polymerase I complex	7/4930	13/19518	0.025627415	1.34E+00	0.019231227	POLR1C/POLR1E/POLR1B/POLR2E/POLR1A/POLR2H/POLR2L	7
CC	GO:0099523	presynaptic cytosol	7/4930	13/19518	0.025627415	1.34E+00	0.019231227	CTBP2/ARL6IP5/GDI1/STXBP1/BAIAP2/HSPA8/HTT	7
CC	GO:0106068	SUMO ligase complex	7/4930	13/19518	0.025627415	1.34E+00	0.019231227	NSMCE1/SMC6/UBE2I/RANBP2/RANGAP1/NSMCE2/NSMCE4A	7
CC	GO:0140445	chromosome, telomeric repeat region	7/4930	13/19518	0.025627415	1.34E+00	0.019231227	TEN1/TERF2IP/POT1/TERF2/RIF1/XRCC5/XRCC6	7
MF	GO:0045296	cadherin binding	237/4904	333/18369	2.42E-65	6.16E+01	1.92E-62	ANLN/USP8/PDLIM1/CALD1/PHLDB2/CORO1B/EEF2/MB21D2/HDLBP/PKM/ABCF3/ARHGAP1/EIF2A/CDC42EP1/ZC3H15/TAGLN2/FLNA/VASP/UNC45A/BZW2/RPL29/MACF1/STK38/OLA1/SH3GLB2/RANBP1/CLINT1/NDRG1/MYO1B/SCYL1/ADD1/RPL24/SNX9/MYH9/PARVA/MAPRE1/GLOD4/CCS/CNN3/DIAPH3/CHMP5/PPME1/CTTN/AHSA1/TMPO/YKT6/CC2D1A/TLN1/PACSIN2/ITGB1/CCNB2/WASF2/IST1/EPS15/CTNNA1/KLC2/NCK1/CAPZB/CKAP5/CTNND1/CTNNA2/FLNB/RPS2/PKN2/LYPLA2/CDH13/RSL1D1/CHMP2B/STX5/RAB1A/SRC/EHD1/EIF3E/CTNNB1/CD2AP/EXOC3/CAPZA1/SLK/LDHA/PICALM/LARP1/PPFIBP1/CHMP4B/PPP1CA/USO1/NUMB/TRIM25/EMD/CLIC1/LRRFIP1/SPTBN1/YWHAB/PTPN11/ARFIP2/SNX2/CRKL/BAIAP2/SCRIB/TNKS1BP1/SH3GLB1/RAB11B/PCMT1/RUVBL1/RDX/SPTAN1/YWHAZ/NUDC/TWF1/RAB10/VAPA/CBL/PSMB6/HSP90AB1/TWF2/CCT8/ERC1/RPL23A/SLC3A2/ATIC/KTN1/TBC1D2/IQGAP1/GIGYF2/PCBP1/EEF1G/BAG3/PRDX6/ARHGAP18/ABI1/RPL6/PFKP/PFN1/S100A11/DDX6/EEF1D/HSPA8/STK24/LRRC59/SNX5/UBFD1/EGFR/RTN4/MARK2/ARGLU1/SERBP1/CNN2/ALDOA/BSG/PDXDC1/PLIN3/CDH2/HNRNPK/RPL7A/ZC3HAV1/RPL34/DHX29/NOP56/EPS15L1/STAT1/ASAP1/GOLGA2/SH3GL1/RPL15/GIPC1/PPP1R13L/PUF60/GAPVD1/PRDX1/PARK7/AHNAK/UBAP2/HSPA5/IDH1/ATXN2L/DNAJB1/TES/EHD4/DBNL/ENO1/EIF4G2/KIF5B/CAST/HCFC1/VAPB/PLEC/LIMA1/VASN/TJP2/PAICS/SND1/EIF4H/MPRIP/PTPRJ/SWAP70/PLCB3/FSCN1/BZW1/PAK2/DLG1/LASP1/RAN/GOLGA3/SNX1/EPS8L2/VCL/RPL14/EFHD2/RANGAP1/PDLIM5/TXNDC9/TJP1/DBN1/JUP/EIF5/ANXA1/EPHA2/FASN/SFN/NOTCH3/TMOD3/PTPN1/EZR/ESYT2/KRT18/SPTBN2/CD46/ITGA6/MICALL1/PAK4/GPRC5A/PI4KA/PKP2/YWHAE/FER/BAIAP2L1/TBC1D10A/EPN2	237
MF	GO:0003735	structural constituent of ribosome	141/4904	177/18369	3.01E-49	4.58E+01	1.20E-46	RPS28/MRPL41/MRPS35/MRPL19/MRPL54/MRPS16/MRPL21/RPL7L1/RPL35A/MRPS11/RPS25/MRPL1/MRPL43/RPL29/RPL9/RPS27/MRPL46/RPL19/RPL26L1/RPL24/MRPL28/RPL5/MRPL47/MRPS25/MRPL20/RPL12/MRPL4/MRPS18B/RPL10A/MRPL42/RPS15A/RPS20/RPS16/RPS15/RPL23/RPS2/MRPS18A/RPS24/MRPL55/RPL36/RPL32/MRPS5/MRPS24/MRPS9/RPL10/MRPL16/MRPS7/MRPL3/RPL27A/MRPL17/RPS27L/RPL30/RPS23/MRPL15/MRPL30/IMP3/MRPS6/DAP3/RPL7/RPS7/MRPL32/RPL3/MRPL13/MRPS23/RPS5/RPL8/FAU/RPS17/MRPL23/RPSA/MRPL33/RPS19/MRPS30/RPL4/MRPS34/RPS29/RPL23A/RPS6/MRPS33/RPL22L1/MRPS17/RPL11/RPL17/RPS14/RPS8/RPL37A/RPL6/RPL18A/MRPL11/RPS3A/RPS3/RPL13A/MRPS22/MRPL49/RPS9/RPL7A/RPL34/RPL35/MRPL27/MRPL2/RPL36AL/RPL15/RPL13/RPL27/MRPS12/MRPL24/MRPL14/MRPS2/RPL18/RPS13/RPL28/MRPL37/RPLP1/MRPL12/MRPL57/RPS18/MRPL44/RPL36A/MRPS18C/RPS21/RPS12/RPL26/RPL21/RPL14/RPS10/RPL31/RPL38/RPS11/RPLP2/MRPL35/RPS4Y2/RPL22/NDUFA7/MRPL9/MRPS31/MRPL22/MRPS14/MRPL10/MRPS21/MRPL52/RSL24D1	141
MF	GO:0043021	ribonucleoprotein complex binding	110/4904	161/18369	2.13E-28	2.51E+01	5.64E-26	SECISBP2/NAA16/PRMT7/EEF2/C1QBP/EIF2A/SEC61G/NCLN/OLA1/PHF6/OXA1L/NAA10/SRP72/ETF1/NAA15/BOP1/NOMO1/DDX5/SNRPB2/EIF2S1/TMCO1/CKAP5/UNG/ITCH/EIF1/SRP68/NVL/EIF5A2/EIF1B/ZNF598/CPEB4/NEMF/IMPACT/NME1/STAU2/SRP19/SMG6/YTHDF3/LARP1/PPP1CA/PQBP1/LTN1/SEC61A1/GTPBP4/PPIH/ABCE1/SNRPD1/LETM1/SNRPA/BAG6/NPM1/RPN2/PES1/RPSA/EIF3K/MTOR/YBX3/SPATA5L1/UNK/DERL1/RBM39/CD2BP2/SRP9/PTCD3/GEMIN5/SRP54/SBDS/PRPF6/TACO1/SPATA5/DDX17/SERBP1/CPSF6/PRMT5/DHX29/XPO5/HSPA5/TIMM50/SEC61B/GEMIN4/EIF4A3/CBX5/RBM3/LEMD3/WDR12/DNAJC2/RPLP1/STRAP/SND1/PRMT3/PRPF31/CCDC47/ERAL1/EIF6/FMR1/HNRNPU/MRPS27/DHX9/NOLC1/TMA16/MALSU1/EEFSEC/NMD3/RICTOR/MRRF/YTHDF1/EZH2/ZNF622/ERI1/ZNF593	110
MF	GO:0016887	ATP hydrolysis activity	191/4904	376/18369	9.16E-24	2.06E+01	1.82E-21	LONP2/TOR1A/DDX19B/KIF1C/KIF14/DDX41/KIF3B/CCT4/MDN1/ABCF3/MYO9B/DHX15/KIF20A/KIF23/MYO19/KIF21B/OLA1/TRIP13/KATNAL1/NTPCR/ATAD1/ATAD3A/ATRX/CHTF18/HSPA14/DDX24/DDX28/HSP90AA1/RFC2/DDX18/DDX5/SMCHD1/DHX38/HSPA2/ERCC6L/CCT3/ATP2B4/ATP13A1/SMC4/PMS1/CHD1L/ABCD3/CLPX/C10orf88/ABCD1/NVL/KIF13B/ATP1A4/SPG7/DDX52/TAP2/DDX27/ERCC3/DDX23/ATP2C1/DHX37/RNF213/EIF4A2/DDX19A/RFC4/BCS1L/CHD4/CLPB/KATNAL2/CCT5/TOR4A/EIF4A1/VCP/PSMC2/CCT7/TCP1/AFG3L2/ASCC3/RUVBL2/ABCE1/DHX36/VPS4B/ATAD3B/ACIN1/DHX30/RUVBL1/PSMC5/PSMC1/YME1L1/MOV10/HSP90AB2P/G3BP1/PSMC3/NSF/ATP2A2/HSP90AB1/ABCC1/CCT8/DDX39A/TRAP1/DDX56/ATP1A1/SPATA5L1/DHX16/DDX39B/RECQL/CCT2/RFC5/PSMC4/ABCC4/SNRNP200/SMC3/DDX6/TAP1/HSPA8/CCT6A/SPATA5/PSMC6/ABCF1/DDX17/HSP90B1/SUPV3L1/KIF2A/DHX57/LONP1/DDX1/UPF1/DHX29/SMARCAD1/FIGNL1/ATP6V1H/MCM2/ABCB7/PFN2/HSPA5/RFC1/PEX1/MORC3/KIF5B/DHX32/MYO1E/ABCF2/EIF4A3/ATP6V1G1/VPS4A/DDX46/ATP2B1/XRCC5/DDX50/MSH2/MCM5/HSPD1/KIFC1/RAD50/DDX42/TOR3A/HSPA9/DDX20/SMC2/ERCC2/TOR1B/MCM6/ATP13A3/DHX9/YTHDC2/AQR/NAV2/SMC1A/XRCC6/MCM7/DDX47/BTAF1/ATAD2/MCM4/CCT6B/DDX21/VWA8/MCM3/SMARCA5/CHD1/WRN/KIF3A/KIF2C/AK6/HSPA13/KIF20B/MLH1/DDX54/KIF13A/KIF22/DDX10/SPAST/RHOBTB3/ABCB6/PEX6/ATP1A3	191
MF	GO:0051020	GTPase binding	157/4904	304/18369	1.13E-20	1.76E+01	1.81E-18	CCDC186/DVL1/EVI5/USP33/RABGAP1L/KIF3B/CDC42BPB/ARHGAP1/ROCK1/RAB11FIP1/ATG16L1/MYO9B/AP3M1/FLNA/IPO9/DOCK5/EXOC8/GIT2/CHM/FARP1/RANBP1/XPOT/NDRG1/XPO1/MICAL1/PPP6R1/GDI2/DAPK3/RILPL1/HSP90AA1/ROCK2/DIAPH3/STRIP1/RABGAP1/STRN3/PKN1/IPO8/AP1G1/XPO7/EXOC4/MYO1C/RANBP9/DVL3/GNB1/MLPH/RIN1/ECT2/PKN2/SRGAP2/LZTR1/IPO13/RAP1A/GGA2/CHML/RABGGTA/PEX5/GOLGA5/RAB11FIP5/TNPO2/GIT1/RAB3GAP1/MYO5A/GDI1/ARHGEF2/OCRL/TRIP11/EHD1/RAB3GAP2/DNM1L/LSM2/PICALM/FGD4/EXOC2/NCKAP1/ATP6AP1/IPO11/PDE6D/KNTC1/SPTBN1/GOLGA4/ARFIP2/BRK1/DOCK7/YBX3/KPNB1/NUTF2/TBC1D13/ERC1/AIMP1/RAB34/IQGAP1/CSE1L/IPO5/TNPO3/ANKFY1/EXOC5/PFN1/TRIOBP/RAB8A/DIAPH2/GNB2/CORO1C/IPO7/XPO5/IPO4/STOML2/TNPO1/SH3BP4/DIAPH1/GAPVD1/CYFIP2/ENO1/RABGEF1/CLTA/RAB7A/EPS8/RANGRF/RASA1/PAK1/OPTN/RANBP2/BIN1/LAMTOR1/BICD2/RABGGTB/GGA1/PAK2/RCC1/FMNL3/CAV1/YBX1/RANGAP1/IQGAP3/PREB/ABI2/TSC2/AKAP13/CYFIP1/INF2/HPS6/SOD1/DOCK1/RCC2/GCC2/KIF3A/MICALL1/DMXL2/BIRC5/FER/IQGAP2/DVL2/RHOBTB3/BNIP3/BECN1/CDC42SE1/BICD1/XPO6	157
MF	GO:0044389	ubiquitin-like protein ligase binding	160/4904	320/18369	3.05E-19	1.62E+01	4.04E-17	HIF1A/CDKN1B/BAG4/PRKAR2B/UBE2T/DDRGK1/UBE2L3/CCNB1/UBE2C/ACTG1/CBS/BAG2/FAF1/RNF31/UBE2A/TOLLIP/MFN2/PSMD1/RB1/SNX9/TSG101/ATP6V0C/HSP90AA1/CUL4B/RPL5/STUB1/DTX3L/ARIH1/AURKA/LYN/ITCH/STX8/RPL23/PRKAR1A/MUL1/NEDD8/BCL10/STAT2/CDK5RAP3/USP7/TXNIP/DLG3/HDAC6/TRAF1/ATXN3/MID1/PDLIM2/ERLIN2/RELA/CUL7/FBXO7/PRKACA/SH3KBP1/RALA/ANAPC2/SMC6/CUL5/OTUB1/TRIP4/PRKAR2A/DNM1L/DBT/UBASH3B/RALB/PCBP2/VCP/TRIM28/STAM/FAF2/CUL1/UBE2L6/HSPBP1/ERLIN1/TMBIM6/UQCRC1/SCAMP3/TCP1/HGS/CUL2/GPI/PML/SMAD3/UBXN7/YWHAZ/BAG6/PA2G4/HSP90AB1/BID/CRK/RIPK1/SMAD2/DERL1/POLR2A/UBE2K/UCHL1/CCT2/RPL11/CCDC50/IKBKG/PSMA3/PRDX6/DAXX/CALR/TRIOBP/HSPA8/CACYBP/NDUFS2/LRPPRC/EGFR/RTN4/UBE2J1/DNAJA1/CUL3/CUL4A/STAT1/TPI1/WFS1/GSK3B/HSPA5/SLC25A5/EIF4E2/RNF40/HERC2/XRCC5/CACUL1/NPLOC4/AUP1/NAE1/HSPD1/RPA2/HSPA9/HM13/VCL/RANGAP1/UBXN1/ABI2/ISG15/SQSTM1/PRKACB/TUBB/RNF20/SUMO3/SUMO1/RBX1/UBE2G1/WRAP53/HLTF/USP25/FZD6/TRAF6/YWHAE/RHOBTB3/CASP8/BECN1/USP13/CDKN1A/TNK2/NEK6/JUN/BAG5	160
MF	GO:0031267	small GTPase binding	141/4904	273/18369	1.05E-18	1.58E+01	1.19E-16	CCDC186/DVL1/EVI5/USP33/RABGAP1L/KIF3B/CDC42BPB/ARHGAP1/ROCK1/RAB11FIP1/MYO9B/AP3M1/FLNA/IPO9/DOCK5/EXOC8/GIT2/CHM/FARP1/RANBP1/XPOT/NDRG1/XPO1/MICAL1/PPP6R1/GDI2/DAPK3/RILPL1/ROCK2/DIAPH3/STRIP1/RABGAP1/STRN3/PKN1/IPO8/AP1G1/XPO7/EXOC4/MYO1C/RANBP9/DVL3/MLPH/RIN1/ECT2/PKN2/SRGAP2/LZTR1/IPO13/RAP1A/GGA2/CHML/RABGGTA/PEX5/GOLGA5/RAB11FIP5/TNPO2/GIT1/RAB3GAP1/MYO5A/GDI1/ARHGEF2/OCRL/TRIP11/EHD1/RAB3GAP2/DNM1L/LSM2/PICALM/FGD4/EXOC2/NCKAP1/ATP6AP1/IPO11/PDE6D/KNTC1/GOLGA4/ARFIP2/BRK1/DOCK7/YBX3/KPNB1/NUTF2/TBC1D13/ERC1/RAB34/IQGAP1/CSE1L/IPO5/TNPO3/ANKFY1/EXOC5/PFN1/TRIOBP/RAB8A/DIAPH2/CORO1C/IPO7/XPO5/IPO4/TNPO1/SH3BP4/DIAPH1/GAPVD1/CYFIP2/RABGEF1/RAB7A/EPS8/RANGRF/PAK1/OPTN/RANBP2/BICD2/RABGGTB/GGA1/PAK2/RCC1/FMNL3/CAV1/RANGAP1/IQGAP3/ABI2/TSC2/AKAP13/CYFIP1/INF2/HPS6/SOD1/DOCK1/RCC2/GCC2/KIF3A/MICALL1/DMXL2/BIRC5/FER/IQGAP2/DVL2/RHOBTB3/CDC42SE1/BICD1/XPO6	141
